Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2008/09,8-Apr,Belfast,Belfast City,Type 1,"3,391.00",473,1,3865.00
2008/09,8-Apr,Belfast,Mater,Type 1,"3,142.00",486,0,3628.00
2008/09,8-Apr,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"5,224.00",862,0,6086.00
2008/09,8-Apr,Belfast,RBHSC,Type 1,"2,480.00",398,0,2878.00
2008/09,8-Apr,Northern,Antrim Area,Type 1,"4,728.00",667,10,5405.00
2008/09,8-Apr,Northern,Causeway,Type 1,"3,186.00",172,0,3358.00
2008/09,8-Apr,Northern,Mid-Ulster,Type 2,"1,346.00",141,0,1487.00
2008/09,8-Apr,Northern,Whiteabbey,Type 2,"1,813.00",4,0,1817.00
2008/09,8-Apr,South Eastern,Ards MIU,Type 3,943,0,0,943.00
2008/09,8-Apr,South Eastern,Bangor MIU,Type 3,832,0,0,832.00
2008/09,8-Apr,South Eastern,Downe,Type 2,"1,974.00",88,0,2062.00
2008/09,8-Apr,South Eastern,Lagan Valley,Type 2,"2,410.00",244,7,2661.00
2008/09,8-Apr,South Eastern,Ulster,Type 1,"5,370.00",605,3,5978.00
2008/09,8-Apr,Southern,Armagh Community,Type 3,790,0,0,790.00
2008/09,8-Apr,Southern,Craigavon Area,Type 1,"5,567.00",388,0,5955.00
2008/09,8-Apr,Southern,Daisy Hill,Type 1,"2,773.00",113,0,2886.00
2008/09,8-Apr,Southern,South Tyrone,Type 3,"1,332.00",0,0,1332.00
2008/09,8-Apr,Western,Altnagelvin Area,Type 1,"3,571.00",459,0,4030.00
2008/09,8-Apr,Western,South West Acute,Type 1,"1,922.00",26,0,1948.00
2008/09,8-Apr,Western,Tyrone County,Type 2,"1,780.00",4,0,1784.00
2008/09,8-May,Belfast,Belfast City,Type 1,"3,554.00",323,0,3877.00
2008/09,8-May,Belfast,Mater,Type 1,"3,363.00",412,0,3775.00
2008/09,8-May,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"5,067.00",896,0,5963.00
2008/09,8-May,Belfast,RBHSC,Type 1,"2,674.00",260,0,2934.00
2008/09,8-May,Northern,Antrim Area,Type 1,"5,239.00",630,0,5869.00
2008/09,8-May,Northern,Causeway,Type 1,"3,688.00",155,0,3843.00
2008/09,8-May,Northern,Mid-Ulster,Type 2,"1,563.00",85,0,1648.00
2008/09,8-May,Northern,Whiteabbey,Type 2,"1,895.00",6,0,1901.00
2008/09,8-May,South Eastern,Ards MIU,Type 3,924,0,0,924.00
2008/09,8-May,South Eastern,Bangor MIU,Type 3,"1,019.00",0,0,1019.00
2008/09,8-May,South Eastern,Downe,Type 2,"2,010.00",158,0,2168.00
2008/09,8-May,South Eastern,Lagan Valley,Type 2,"2,725.00",164,4,2893.00
2008/09,8-May,South Eastern,Ulster,Type 1,"5,808.00",446,5,6259.00
2008/09,8-May,Southern,Armagh Community,Type 3,771,0,0,771.00
2008/09,8-May,Southern,Craigavon Area,Type 1,"5,713.00",635,0,6348.00
2008/09,8-May,Southern,Daisy Hill,Type 1,"3,085.00",104,0,3189.00
2008/09,8-May,Southern,South Tyrone,Type 3,"1,572.00",0,0,1572.00
2008/09,8-May,Western,Altnagelvin Area,Type 1,"3,927.00",609,2,4538.00
2008/09,8-May,Western,South West Acute,Type 1,"2,078.00",42,1,2121.00
